Shipment_ID,Region,Transport_Mode,Product_Category,Shipment_Volume_Units,Delivery_Time_Days,Transportation_Cost,SLA_Days,On_Time
55,East,Sea,Pharma,104,22.8,741.31,15,False
56,Central,Rail,Apparel,143,3.9,550.41,8,True
57,North,Road,Groceries,58,3.8,401.58,6,True
58,North,Road,Furniture,74,2.2,557.96,6,True
59,North,Rail,Apparel,223,4.6,825.06,8,True
60,South,Air,Apparel,86,0.5,2355.65,3,True
61,South,Road,Apparel,49,4.8,493.04,6,True
62,North,Air,Furniture,147,1.3,3797.96,3,True
63,West,Sea,Electronics,222,12.0,741.88,15,True
64,South,Road,Pharma,45,3.8,382.92,6,True
65,South,Road,Groceries,190,14.7,1994.34,6,False
66,East,Rail,Electronics,235,18.7,784.12,8,False
67,North,Road,Groceries,185,4.3,1612.81,6,True
68,West,Road,Pharma,101,3.3,890.6,6,True
69,North,Road,Furniture,196,5.4,1653.26,6,True
70,Central,Road,Apparel,207,5.5,1548.14,6,True
71,West,Rail,Apparel,51,6.0,270.57,8,True
72,North,Air,Furniture,168,0.8,3721.01,3,True
73,North,Road,Electronics,116,2.1,990.52,6,True
74,West,Sea,Electronics,113,11.0,373.02,15,True
75,West,Sea,Groceries,30,9.4,91.03,15,True
76,West,Sea,Furniture,25,10.9,68.81,15,True
77,West,Road,Electronics,117,4.4,929.59,6,True
78,North,Road,Furniture,100,3.9,974.97,6,True
79,South,Sea,Pharma,100,25.0,297.39,15,False
80,North,Rail,Apparel,93,5.6,343.61,8,True
81,West,Road,Apparel,56,3.5,366.8,6,True
82,East,Road,Apparel,175,5.3,1253.33,6,True
83,South,Road,Furniture,233,1.7,2680.85,6,True
84,North,Sea,Furniture,39,10.2,155.7,15,True
85,South,Air,Groceries,160,2.3,7068.12,3,True
86,South,Road,Apparel,46,3.8,360.91,6,True
87,West,Road,Groceries,92,3.8,671.36,6,True
88,East,Rail,Apparel,139,4.9,707.68,8,True
89,Central,Sea,Groceries,69,12.3,198.68,15,True
90,South,Road,Groceries,62,3.0,515.47,6,True
91,North,Rail,Pharma,108,6.1,655.38,8,True
92,West,Sea,Groceries,174,10.6,529.23,15,True
93,West,Road,Furniture,78,3.8,725.4,6,True
94,East,Air,Groceries,61,3.9,2251.65,3,False
95,West,Road,Apparel,81,3.5,529.17,6,True
96,South,Rail,Groceries,203,5.8,1246.29,8,True
97,East,Air,Electronics,110,1.3,4207.54,3,True
98,South,Air,Apparel,115,1.7,4239.47,3,True
99,North,Rail,Electronics,87,6.6,366.06,8,True
100,North,Road,Apparel,97,4.3,833.59,6,True
101,North,Sea,Furniture,162,12.3,495.73,15,True
102,East,Air,Furniture,117,1.3,3504.56,3,True
103,South,Road,Furniture,271,4.1,2492.37,6,True
104,East,Rail,Electronics,80,5.7,269.8,8,True
105,Central,Rail,Pharma,224,3.8,950.36,8,True
106,North,Road,Apparel,41,7.2,406.36,6,False
107,South,Sea,Furniture,117,12.9,360.38,15,True
108,West,Sea,Apparel,108,10.8,297.93,15,True
109,North,Road,Electronics,225,4.3,1846.59,6,True
110,North,Sea,Pharma,88,10.4,376.7,15,True
111,South,Road,Electronics,265,3.4,2840.23,6,True
112,North,Road,Apparel,37,2.2,291.82,6,True
113,Central,Road,Pharma,67,3.9,431.35,6,True
114,West,Sea,Pharma,70,10.1,260.15,15,True
115,East,Rail,Electronics,45,6.5,174.88,8,True
116,West,Road,Furniture,109,4.8,999.62,6,True
117,West,Road,Apparel,91,3.0,636.27,6,True
118,North,Air,Groceries,191,1.7,7612.46,3,True
119,Central,Road,Groceries,48,2.9,293.65,6,True
120,East,Sea,Electronics,336,12.6,934.51,15,True
121,West,Sea,Apparel,256,11.2,762.99,15,True
122,Central,Air,Apparel,74,2.4,2289.15,3,True
123,South,Sea,Electronics,158,9.8,530.82,15,True
124,North,Road,Apparel,74,2.8,783.63,6,True
125,North,Sea,Furniture,155,10.7,563.97,15,True
126,South,Rail,Electronics,43,6.2,198.88,8,True
127,West,Air,Furniture,152,2.2,5746.42,3,True
128,West,Road,Apparel,84,4.3,783.41,6,True
129,North,Sea,Electronics,38,11.4,106.17,15,True
130,East,Road,Apparel,104,0.6,884.99,6,True
131,South,Road,Electronics,107,4.0,1146.04,6,True
132,North,Road,Apparel,120,4.9,947.97,6,True
133,North,Air,Furniture,268,4.7,10760.57,3,False
134,South,Air,Furniture,84,1.0,2158.43,3,True
135,Central,Rail,Apparel,97,5.2,467.01,8,True
136,South,Sea,Electronics,41,12.4,160.26,15,True
137,East,Road,Groceries,133,3.7,801.37,6,True
138,West,Rail,Furniture,99,7.5,539.39,8,True
139,South,Road,Furniture,52,3.0,332.99,6,True
140,Central,Sea,Groceries,116,11.7,246.52,15,True
141,Central,Sea,Apparel,59,13.1,164.87,15,True
142,North,Air,Electronics,313,1.9,10933.91,3,True
143,South,Rail,Apparel,88,7.4,500.82,8,True
144,South,Road,Pharma,48,3.5,444.6,6,True
145,South,Road,Furniture,148,5.5,1347.01,6,True
146,North,Sea,Pharma,46,10.0,158.44,15,True
147,East,Road,Furniture,183,2.1,1195.26,6,True
148,East,Road,Furniture,45,5.5,344.38,6,True
149,North,Road,Pharma,163,4.0,1080.11,6,True
150,North,Sea,Pharma,190,13.1,633.36,15,True
151,Central,Road,Apparel,246,15.2,1498.51,6,False
152,North,Road,Pharma,48,4.0,381.64,6,True
153,North,Rail,Apparel,64,4.4,302.62,8,True
154,South,Sea,Apparel,178,24.2,592.39,15,False
155,Central,Road,Apparel,200,5.6,1087.09,6,True
156,North,Road,Furniture,70,4.1,587.66,6,True
157,East,Road,Furniture,33,4.8,257.37,6,True
158,West,Road,Pharma,44,4.7,295.83,6,True
159,North,Road,Furniture,45,2.8,327.79,6,True
160,West,Rail,Pharma,90,7.0,474.63,8,True
161,South,Rail,Furniture,126,5.6,659.44,8,True
162,East,Air,Electronics,79,1.2,2405.33,3,True
163,East,Road,Electronics,116,6.5,1037.67,6,False
164,East,Sea,Pharma,216,12.7,494.13,15,True
165,North,Road,Furniture,72,3.2,376.23,6,True
166,West,Sea,Furniture,100,12.1,286.71,15,True
167,South,Air,Apparel,151,1.5,5778.58,3,True
168,North,Road,Groceries,143,6.0,1059.92,6,True
169,North,Rail,Pharma,148,6.0,769.84,8,True
170,East,Road,Groceries,80,11.9,487.17,6,False
171,East,Rail,Groceries,166,4.4,615.31,8,True
172,North,Road,Pharma,116,4.0,834.11,6,True
173,East,Road,Furniture,48,3.1,311.7,6,True
174,North,Sea,Pharma,110,11.4,434.98,15,True
175,East,Road,Groceries,91,3.4,807.77,6,True
176,North,Sea,Furniture,22,11.1,49.47,15,True
177,East,Road,Electronics,314,6.1,1606.36,6,False
178,South,Air,Pharma,110,3.2,4370.55,3,False
179,Central,Rail,Pharma,298,6.5,1533.79,8,True
180,North,Air,Furniture,137,0.9,5274.09,3,True
181,South,Road,Electronics,56,4.7,512.66,6,True
182,North,Road,Electronics,51,4.9,380.09,6,True
183,Central,Road,Furniture,133,4.4,988.73,6,True
184,West,Road,Apparel,121,3.8,1043.54,6,True
185,North,Rail,Pharma,71,6.6,447.22,8,True
186,East,Sea,Pharma,116,13.1,233.91,15,True
187,West,Sea,Groceries,299,11.8,1001.7,15,True
188,East,Rail,Furniture,303,5.1,1248.29,8,True
189,East,Rail,Groceries,151,15.1,721.73,8,False
190,North,Rail,Groceries,85,6.3,440.99,8,True
191,North,Road,Electronics,125,6.6,1076.45,6,False
192,Central,Sea,Pharma,63,10.7,173.37,15,True
193,Central,Rail,Groceries,157,7.3,758.92,8,True
194,East,Air,Electronics,45,14.5,1832.49,3,False
195,South,Road,Furniture,126,3.4,1161.95,6,True
196,South,Road,Groceries,189,5.1,1597.34,6,True
197,West,Road,Pharma,144,3.7,987.19,6,True
198,Central,Sea,Groceries,62,12.3,158.51,15,True
199,Central,Air,Furniture,224,1.8,7057.49,3,True
200,West,Road,Groceries,109,3.2,730.4,6,True
201,East,Sea,Pharma,111,13.1,351.16,15,True
202,North,Road,Electronics,155,3.9,1221.15,6,True
203,North,Road,Pharma,63,2.3,409.06,6,True
204,Central,Road,Electronics,87,2.9,485.95,6,True
205,East,Rail,Apparel,203,2.3,784.25,8,True
206,North,Sea,Pharma,36,12.1,93.01,15,True
207,North,Road,Pharma,137,5.6,1189.69,6,True
208,East,Sea,Furniture,67,10.7,204.34,15,True
209,North,Road,Groceries,89,4.7,893.47,6,True
210,North,Sea,Electronics,60,12.5,161.15,15,True
211,East,Rail,Electronics,77,5.1,364.33,8,True
212,East,Sea,Furniture,104,19.0,253.55,15,False
213,East,Road,Furniture,99,12.7,714.95,6,False
214,North,Sea,Groceries,66,14.4,154.03,15,True
215,West,Rail,Groceries,22,4.0,96.04,8,True
216,North,Road,Pharma,61,3.7,546.78,6,True
217,South,Sea,Apparel,63,11.8,168.99,15,True
218,West,Road,Groceries,157,4.0,1440.43,6,True
219,East,Sea,Furniture,58,12.9,140.72,15,True
220,West,Road,Groceries,69,8.1,412.19,6,False
221,East,Rail,Electronics,202,6.5,562.87,8,True
222,East,Air,Apparel,86,1.5,3303.68,3,True
223,North,Road,Pharma,137,2.7,782.75,6,True
224,South,Road,Electronics,57,1.7,519.34,6,True
225,North,Road,Electronics,203,5.4,1710.22,6,True
226,North,Road,Apparel,106,3.3,680.96,6,True
227,Central,Road,Pharma,42,7.1,246.48,6,False
228,South,Air,Furniture,159,2.5,6859.4,3,True
229,Central,Road,Pharma,95,18.7,634.75,6,False
230,East,Road,Groceries,188,4.5,1260.08,6,True
231,West,Rail,Electronics,215,6.5,1168.86,8,True
232,East,Road,Groceries,85,3.2,602.61,6,True
233,East,Sea,Furniture,117,9.9,269.92,15,True
234,South,Sea,Groceries,111,11.3,451.91,15,True
235,North,Rail,Pharma,238,6.0,1227.02,8,True
236,West,Air,Groceries,62,0.7,1648.94,3,True
237,South,Sea,Furniture,38,10.5,141.36,15,True
238,North,Road,Furniture,95,3.1,689.83,6,True
239,East,Road,Furniture,60,13.8,413.24,6,False
240,North,Road,Pharma,98,4.9,784.96,6,True
241,Central,Rail,Furniture,228,15.8,803.52,8,False
242,Central,Road,Electronics,128,4.7,1040.76,6,True
243,Central,Air,Furniture,135,0.5,2933.29,3,True
244,South,Sea,Groceries,93,11.0,323.58,15,True
245,North,Sea,Groceries,71,12.4,225.18,15,True
246,Central,Air,Groceries,111,0.5,3127.21,3,True
247,South,Road,Pharma,69,4.1,616.61,6,True
248,Central,Sea,Groceries,137,10.5,310.21,15,True
249,Central,Air,Pharma,53,0.5,1305.21,3,True
250,West,Road,Pharma,62,4.9,456.67,6,True
251,South,Road,Furniture,89,20.0,961.09,6,False
252,South,Sea,Electronics,76,4.7,244.83,15,True
253,West,Rail,Furniture,118,11.2,817.63,8,False
254,South,Sea,Furniture,383,9.3,1453.94,15,True
255,North,Sea,Pharma,201,4.7,361.71,15,True
256,East,Air,Pharma,175,7.3,6242.84,3,False
257,Central,Air,Groceries,31,0.8,861.08,3,True
258,East,Road,Groceries,151,3.6,860.53,6,True
259,East,Road,Furniture,153,1.7,1317.12,6,True
260,North,Road,Apparel,139,4.7,1039.29,6,True
261,East,Rail,Apparel,64,8.4,265.5,8,False
262,Central,Air,Groceries,119,0.6,3519.52,3,True
263,North,Sea,Apparel,135,14.9,474.43,15,True
264,East,Road,Groceries,82,3.9,600.44,6,True
265,West,Air,Pharma,144,3.5,5325.2,3,False
266,West,Air,Furniture,165,1.9,5429.91,3,True
267,East,Air,Electronics,97,1.9,3571.46,3,True
268,West,Rail,Furniture,54,8.2,288.73,8,False
269,South,Road,Groceries,31,4.9,275.56,6,True
270,South,Air,Groceries,92,1.9,3508.87,3,True
271,West,Road,Furniture,56,1.7,542.85,6,True
272,West,Road,Groceries,82,2.2,661.7,6,True
273,West,Road,Apparel,134,4.6,1299.4,6,True
274,Central,Rail,Apparel,135,7.8,501.8,8,True
275,East,Sea,Groceries,81,12.2,242.4,15,True
276,East,Air,Groceries,63,0.8,2046.15,3,True
277,West,Rail,Apparel,91,17.4,409.62,8,False
278,East,Air,Groceries,220,14.2,6839.59,3,False
279,West,Air,Groceries,26,1.7,641.53,3,True
280,West,Road,Furniture,82,3.0,611.93,6,True
281,Central,Road,Electronics,50,2.8,244.27,6,True
282,South,Road,Apparel,177,3.9,2116.31,6,True
283,South,Road,Furniture,133,5.7,936.17,6,True
284,North,Road,Electronics,114,4.8,1265.74,6,True
285,East,Road,Groceries,59,4.3,457.57,6,True
286,North,Road,Groceries,49,13.9,361.49,6,False
287,South,Sea,Furniture,133,12.7,514.35,15,True
288,East,Road,Groceries,103,3.9,669.9,6,True
289,South,Road,Pharma,61,3.5,442.54,6,True
290,East,Road,Furniture,104,4.9,757.68,6,True
291,North,Air,Electronics,92,1.2,3558.14,3,True
292,North,Road,Furniture,184,2.6,1754.27,6,True
293,West,Road,Apparel,142,5.7,1281.85,6,True
294,South,Air,Furniture,96,0.5,3557.19,3,True
295,North,Road,Groceries,120,5.8,1159.62,6,True
296,East,Road,Groceries,135,4.6,1141.56,6,True
297,West,Road,Pharma,108,2.8,943.81,6,True
298,North,Road,Pharma,40,4.0,378.12,6,True
299,East,Road,Pharma,215,3.5,2055.31,6,True
300,North,Road,Electronics,326,5.0,2395.35,6,True
301,North,Sea,Pharma,207,12.9,537.2,15,True
302,East,Air,Electronics,189,2.1,5442.07,3,True
303,East,Air,Pharma,83,2.4,2085.2,3,True
304,East,Road,Electronics,242,3.9,1896.92,6,True
305,West,Sea,Furniture,133,14.1,317.78,15,True
306,Central,Road,Furniture,193,15.6,1469.58,6,False
307,East,Road,Groceries,121,3.4,783.36,6,True
308,South,Air,Electronics,49,2.5,2374.21,3,True
309,West,Road,Apparel,98,18.2,507.46,6,False
310,North,Road,Groceries,169,3.7,1273.88,6,True
311,South,Air,Furniture,84,1.1,2725.25,3,True
312,North,Sea,Electronics,123,13.5,443.91,15,True
313,North,Road,Pharma,83,4.0,831.23,6,True
314,Central,Rail,Apparel,67,6.3,173.77,8,True
315,West,Sea,Furniture,9,13.7,32.03,15,True
316,East,Road,Groceries,21,7.0,175.44,6,False
317,South,Road,Electronics,57,3.4,550.02,6,True
318,North,Road,Apparel,78,3.7,679.05,6,True
319,North,Road,Electronics,201,4.1,1732.47,6,True
320,North,Road,Pharma,58,4.1,524.52,6,True
321,East,Sea,Groceries,56,12.5,126.42,15,True
322,West,Rail,Electronics,281,5.4,1740.9,8,True
323,East,Air,Furniture,184,0.5,5978.01,3,True
324,North,Road,Groceries,451,6.1,3688.82,6,False
325,Central,Sea,Furniture,154,12.7,401.01,15,True
326,West,Sea,Electronics,60,11.5,152.97,15,True
327,East,Sea,Groceries,15,12.5,31.06,15,True
328,East,Road,Furniture,129,6.2,911.94,6,False
329,South,Air,Pharma,272,0.6,13482.8,3,True
330,North,Road,Pharma,68,4.3,447.27,6,True
331,South,Road,Electronics,145,2.3,1369.05,6,True
332,West,Road,Groceries,56,3.9,419.83,6,True
333,North,Air,Apparel,62,2.2,1893.01,3,True
334,North,Rail,Groceries,89,4.7,478.42,8,True
335,North,Road,Pharma,210,3.8,1871.36,6,True
336,North,Road,Furniture,111,5.0,783.1,6,True
337,West,Road,Apparel,127,17.1,1288.79,6,False
338,West,Road,Electronics,75,2.6,669.93,6,True
339,South,Road,Apparel,109,4.4,966.45,6,True
340,North,Road,Electronics,110,4.7,925.87,6,True
341,South,Rail,Apparel,143,6.1,1073.41,8,True
342,South,Road,Electronics,80,5.3,741.31,6,True
343,North,Road,Electronics,121,3.3,866.55,6,True
344,South,Road,Apparel,14,4.5,128.44,6,True
345,South,Sea,Apparel,31,10.6,109.06,15,True
346,East,Rail,Electronics,109,4.1,539.45,8,True
347,East,Rail,Pharma,45,6.9,209.78,8,True
348,North,Road,Apparel,144,4.0,1479.51,6,True
349,South,Air,Groceries,96,8.6,3732.61,3,False
350,East,Road,Furniture,124,2.7,661.13,6,True
351,East,Air,Electronics,178,2.5,5787.43,3,True
352,West,Sea,Electronics,92,10.2,270.62,15,True
353,East,Air,Furniture,33,2.7,804.98,3,True
354,North,Sea,Pharma,60,12.5,161.0,15,True
355,North,Rail,Furniture,184,4.3,870.54,8,True
356,East,Road,Apparel,240,4.2,2023.44,6,True
357,North,Sea,Furniture,77,15.2,179.61,15,False
358,East,Road,Electronics,107,5.4,810.82,6,True
359,Central,Air,Furniture,28,0.5,1045.13,3,True
360,East,Road,Groceries,138,4.9,967.54,6,True
361,South,Road,Apparel,172,2.3,1533.92,6,True
362,East,Road,Furniture,88,2.4,702.01,6,True
363,South,Road,Electronics,164,3.9,1626.98,6,True
364,East,Road,Apparel,182,4.7,1589.04,6,True
365,Central,Air,Electronics,84,2.5,2293.04,3,True
366,South,Road,Pharma,25,5.0,254.23,6,True
367,Central,Road,Groceries,45,4.6,319.02,6,True
368,Central,Air,Pharma,129,0.5,3430.2,3,True
369,North,Road,Groceries,108,3.9,849.23,6,True
370,North,Rail,Furniture,82,7.2,409.31,8,True
371,North,Rail,Apparel,33,6.5,134.37,8,True
372,North,Sea,Furniture,65,12.2,183.63,15,True
373,North,Rail,Groceries,177,11.6,1083.62,8,False
374,East,Road,Groceries,244,4.4,2030.26,6,True
375,North,Rail,Groceries,113,3.6,515.85,8,True
376,South,Road,Electronics,30,5.4,275.35,6,True
377,West,Road,Apparel,123,13.7,1183.75,6,False
378,North,Rail,Furniture,113,6.8,602.58,8,True
379,West,Road,Furniture,82,1.2,771.45,6,True
380,South,Rail,Pharma,66,8.0,409.91,8,True
381,North,Sea,Groceries,106,10.6,328.28,15,True
382,East,Sea,Groceries,154,15.0,405.45,15,True
383,East,Sea,Groceries,91,14.5,201.65,15,True
384,West,Road,Furniture,78,2.4,723.23,6,True
385,West,Road,Pharma,101,5.0,820.18,6,True
386,West,Air,Electronics,129,0.5,3568.92,3,True
387,South,Road,Apparel,116,3.2,979.85,6,True
388,North,Air,Electronics,111,0.8,4381.67,3,True
389,West,Rail,Furniture,70,20.1,261.87,8,False
390,West,Rail,Groceries,161,6.4,714.72,8,True
391,Central,Road,Apparel,206,2.6,1345.52,6,True
392,South,Road,Furniture,110,4.5,1225.39,6,True
393,South,Road,Furniture,169,3.8,1788.01,6,True
394,West,Road,Furniture,125,1.8,1286.51,6,True
395,South,Sea,Apparel,55,11.5,195.66,15,True
396,Central,Road,Apparel,156,6.0,967.07,6,True
397,West,Road,Pharma,107,3.5,1012.49,6,True
398,South,Road,Pharma,164,1.8,1305.26,6,True
399,West,Air,Electronics,244,2.5,7652.37,3,True
400,West,Air,Apparel,88,0.5,2673.67,3,True
401,North,Road,Apparel,57,4.3,530.48,6,True
402,Central,Road,Apparel,71,3.8,397.51,6,True
403,East,Road,Pharma,153,20.1,1266.94,6,False
404,West,Road,Furniture,151,18.4,1296.64,6,False
405,South,Rail,Groceries,157,4.6,1051.94,8,True
406,Central,Air,Pharma,87,0.9,2032.09,3,True
407,South,Road,Apparel,117,2.5,975.4,6,True
408,North,Road,Pharma,110,3.7,939.93,6,True
409,Central,Sea,Electronics,231,14.1,518.56,15,True
410,North,Road,Apparel,81,5.5,405.65,6,True
411,South,Rail,Electronics,75,8.4,342.48,8,False
412,Central,Road,Apparel,82,4.6,437.16,6,True
413,Central,Road,Pharma,193,4.2,1042.67,6,True
414,East,Road,Furniture,169,2.8,1341.24,6,True
415,East,Air,Groceries,48,1.8,1588.44,3,True
416,South,Sea,Electronics,46,11.8,162.56,15,True
417,South,Road,Pharma,137,18.7,1640.16,6,False
418,South,Road,Furniture,105,2.7,1136.29,6,True
419,East,Road,Pharma,29,4.1,233.91,6,True
420,West,Road,Electronics,48,2.1,312.77,6,True
421,West,Road,Groceries,108,4.4,915.3,6,True
422,West,Road,Pharma,376,4.8,3299.91,6,True
423,North,Rail,Apparel,156,4.1,731.42,8,True
424,South,Road,Furniture,60,2.4,693.29,6,True
425,North,Road,Pharma,228,2.4,1838.01,6,True
426,East,Sea,Furniture,55,11.8,121.14,15,True
427,South,Road,Apparel,75,2.3,586.77,6,True
428,Central,Sea,Groceries,224,13.7,721.65,15,True
429,South,Road,Groceries,55,4.5,474.11,6,True
430,North,Sea,Apparel,245,12.7,505.84,15,True
431,North,Air,Furniture,23,0.5,732.63,3,True
432,West,Sea,Pharma,141,13.6,322.46,15,True
433,East,Sea,Apparel,123,23.6,377.8,15,False
434,North,Road,Electronics,186,3.2,1051.68,6,True
435,North,Sea,Furniture,120,10.1,284.28,15,True
436,West,Road,Groceries,125,3.9,1050.63,6,True
437,North,Road,Apparel,72,3.4,671.85,6,True
438,West,Road,Groceries,93,3.5,773.06,6,True
439,West,Air,Furniture,232,0.7,6917.6,3,True
440,North,Road,Groceries,139,4.9,1142.45,6,True
441,North,Air,Apparel,154,0.5,5011.79,3,True
442,Central,Air,Furniture,126,3.2,4127.43,3,False
443,South,Rail,Electronics,98,7.2,635.75,8,True
444,South,Sea,Apparel,30,12.3,95.16,15,True
445,West,Road,Pharma,210,3.8,1970.33,6,True
446,Central,Road,Apparel,162,5.3,1078.98,6,True
447,Central,Road,Furniture,112,3.9,863.76,6,True
448,West,Road,Apparel,65,3.7,606.38,6,True
449,South,Road,Electronics,170,5.4,1692.33,6,True
450,North,Road,Electronics,61,6.5,585.21,6,False
451,West,Road,Pharma,155,2.8,1305.01,6,True
452,East,Sea,Groceries,74,22.0,176.63,15,False
453,South,Air,Furniture,131,0.5,5431.6,3,True
454,Central,Road,Furniture,219,4.6,1326.88,6,True
455,North,Air,Groceries,119,0.6,4542.47,3,True
456,South,Road,Electronics,146,5.5,1355.68,6,True
457,North,Road,Electronics,278,3.9,2358.42,6,True
458,South,Air,Apparel,136,1.6,4485.3,3,True
459,North,Road,Pharma,60,6.0,516.6,6,True
460,North,Road,Pharma,158,3.1,1020.32,6,True
461,North,Sea,Pharma,91,12.8,312.38,15,True
462,East,Sea,Apparel,248,11.2,766.35,15,True
463,West,Air,Pharma,89,2.9,3441.46,3,True
464,East,Air,Groceries,89,3.6,2933.9,3,False
465,Central,Air,Apparel,145,1.2,3923.79,3,True
466,South,Road,Groceries,129,14.1,741.31,6,False
467,South,Road,Apparel,157,3.2,1441.15,6,True
468,West,Road,Pharma,84,6.9,915.45,6,False
469,North,Road,Groceries,170,3.3,1406.78,6,True
470,Central,Air,Groceries,36,3.6,804.52,3,False
471,North,Road,Groceries,78,4.7,464.1,6,True
472,Central,Sea,Apparel,153,11.2,287.99,15,True
473,North,Sea,Furniture,30,12.9,84.9,15,True
474,Central,Rail,Pharma,141,6.8,671.09,8,True
475,East,Air,Groceries,128,2.5,3413.0,3,True
476,Central,Sea,Furniture,70,12.0,203.83,15,True
477,North,Road,Pharma,141,5.2,1158.36,6,True
478,East,Rail,Pharma,73,7.2,352.32,8,True
479,Central,Road,Groceries,163,5.4,1114.56,6,True
480,East,Rail,Groceries,133,5.3,651.53,8,True
481,East,Road,Apparel,184,5.2,1243.05,6,True
482,East,Sea,Furniture,314,23.8,550.93,15,False
483,South,Sea,Furniture,134,11.8,421.5,15,True
484,East,Road,Groceries,198,3.8,1235.74,6,True
485,East,Road,Pharma,51,13.2,384.31,6,False
486,Central,Sea,Groceries,153,9.9,379.28,15,True
487,North,Road,Pharma,21,5.5,161.14,6,True
488,South,Sea,Pharma,158,11.2,688.64,15,True
489,Central,Air,Groceries,52,1.2,1316.06,3,True
490,Central,Road,Electronics,171,3.1,729.02,6,True
491,South,Road,Furniture,209,3.7,1957.25,6,True
492,East,Road,Pharma,152,3.4,1289.62,6,True
493,North,Rail,Pharma,30,7.5,156.46,8,True
494,North,Road,Electronics,84,3.3,636.05,6,True
495,South,Air,Apparel,26,3.6,1084.24,3,False
496,South,Road,Electronics,301,5.4,3533.05,6,True
497,East,Air,Electronics,149,0.9,4077.39,3,True
498,North,Sea,Pharma,166,12.4,500.31,15,True
499,Central,Sea,Furniture,56,12.6,147.91,15,True
500,Central,Road,Electronics,63,5.0,418.56,6,True
501,East,Sea,Apparel,97,13.1,252.16,15,True
502,East,Rail,Groceries,185,6.2,779.26,8,True
503,South,Air,Electronics,66,0.5,2542.86,3,True
504,West,Sea,Electronics,287,12.8,976.2,15,True
505,East,Road,Apparel,39,3.7,300.76,6,True
506,North,Road,Furniture,96,0.7,1009.31,6,True
507,Central,Sea,Electronics,225,12.5,415.52,15,True
508,West,Road,Electronics,55,3.1,583.82,6,True
509,Central,Sea,Furniture,81,11.4,188.44,15,True
510,West,Sea,Apparel,120,17.9,372.86,15,False
511,East,Road,Electronics,56,2.1,455.14,6,True
512,South,Sea,Furniture,33,12.2,128.41,15,True
513,Central,Road,Electronics,68,3.6,510.7,6,True
514,West,Air,Groceries,209,0.5,9264.65,3,True
515,North,Air,Pharma,96,1.6,3339.93,3,True
516,North,Sea,Groceries,55,10.0,199.34,15,True
